experiment,variant,controller_mode,mpc_model,nn_model,terrain,path,speed_mps,bumpiness,seed,run_dir,status,rc,wall_s,sim_s,rt_factor,diag_csv,collision_csv,shield_csv,n_samples,rms_cte_m,max_abs_cte_m,mean_abs_cte_m,mean_speed_mps,p95_speed_mps,speed_ratio,mean_solve_ms,p99_solve_ms,progress_m,final_x_m,final_y_m,collisions,near_misses,min_clearance_m,intervention_rate_pct,mean_abs_dsteer,mean_abs_dthrottle,notes,extra_sim_diag_csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,510,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510,ok,0,18.12762331962585,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510/20260704_042347_033968_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510/cbf_filter_log.csv,1246,0.223439431420762,1.11969,0.1397130886426593,2.199254847645429,3.89948,0.4398509695290858,2.283081861958266,3.731,29.27276736901971,29.54742,-2.94679,0,0,3.327402,11.8,0.1542203539823008,0.128562831858407,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0000_pacejka_clay_sinusoidal_v5_b0_s510/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,512,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0002_pacejka_clay_sinusoidal_v5_b0_s512,ok,0,18.61306381225586,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0002_pacejka_clay_sinusoidal_v5_b0_s512/20260704_042404_219554_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0002_pacejka_clay_sinusoidal_v5_b0_s512/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0002_pacejka_clay_sinusoidal_v5_b0_s512/cbf_filter_log.csv,1250,2.404324326868265,4.47496,1.6325793702677744,1.95488864265928,3.2741,0.390977728531856,4.100104,7.0257,26.64412242740387,26.711298,1.098821,1,1,-0.4444000000000001,23.7,0.208717094017094,0.0904606837606837,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0002_pacejka_clay_sinusoidal_v5_b0_s512/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,514,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0004_pacejka_clay_sinusoidal_v5_b0_s514,ok,0,18.65932536125183,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0004_pacejka_clay_sinusoidal_v5_b0_s514/20260704_042404_275586_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0004_pacejka_clay_sinusoidal_v5_b0_s514/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0004_pacejka_clay_sinusoidal_v5_b0_s514/cbf_filter_log.csv,1250,0.7717329387535977,2.201915,0.5393407710064635,2.448009602954756,4.09408,0.4896019205909511,4.521056,7.260199999999999,33.16520847304132,32.794697,-3.100567,0,0,1.364216,18.4,0.17015,0.0781228813559322,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0004_pacejka_clay_sinusoidal_v5_b0_s514/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,513,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0003_pacejka_clay_sinusoidal_v5_b0_s513,ok,0,18.66371059417725,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0003_pacejka_clay_sinusoidal_v5_b0_s513/20260704_042404_244051_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0003_pacejka_clay_sinusoidal_v5_b0_s513/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0003_pacejka_clay_sinusoidal_v5_b0_s513/cbf_filter_log.csv,1250,0.1404009246649463,0.421529,0.1144493388734995,1.259630563250231,2.992189999999999,0.2519261126500461,4.111471999999999,7.2353,17.375886520943617,18.407033,0.920847,1,1,-0.3083,41.4,0.108886440677966,0.3350991525423729,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0003_pacejka_clay_sinusoidal_v5_b0_s513/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,0,511,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0001_pacejka_clay_sinusoidal_v5_b0_s511,ok,0,18.66714334487915,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0001_pacejka_clay_sinusoidal_v5_b0_s511/20260704_042404_250979_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0001_pacejka_clay_sinusoidal_v5_b0_s511/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0001_pacejka_clay_sinusoidal_v5_b0_s511/cbf_filter_log.csv,1250,1.898319043774732,3.282477,1.299841032317636,1.84671458910434,3.21091,0.3693429178208679,3.83772,6.650599999999999,25.19620455147101,25.336148,0.234408,1,1,-1.8037,28.3,0.1863623931623931,0.1679034188034188,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0001_pacejka_clay_sinusoidal_v5_b0_s511/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,510,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0005_pacejka_clay_sinusoidal_v5_b4_s510,ok,0,18.8198344707489,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0005_pacejka_clay_sinusoidal_v5_b4_s510/20260704_042404_295239_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0005_pacejka_clay_sinusoidal_v5_b4_s510/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0005_pacejka_clay_sinusoidal_v5_b4_s510/cbf_filter_log.csv,1250,0.6918645333790174,2.512948,0.3763730378578023,2.349592613111726,4.07546,0.4699185226223453,4.328096,8.135299999999999,31.716820452085948,31.898881,-3.688548,0,0,1.056994,20.4,0.2342134453781512,0.1421302521008403,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0005_pacejka_clay_sinusoidal_v5_b4_s510/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,511,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0006_pacejka_clay_sinusoidal_v5_b4_s511,ok,0,18.820667266845703,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0006_pacejka_clay_sinusoidal_v5_b4_s511/20260704_042404_152066_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0006_pacejka_clay_sinusoidal_v5_b4_s511/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0006_pacejka_clay_sinusoidal_v5_b4_s511/cbf_filter_log.csv,1250,2.966688500444499,5.323903,2.008038638042474,2.025294459833795,3.37395,0.405058891966759,4.517159999999999,9.583099999999993,27.84230606086757,27.621938,1.255461,1,1,-0.0282000000000002,28.3,0.2435379310344827,0.2539810344827586,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0006_pacejka_clay_sinusoidal_v5_b4_s511/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,512,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0007_pacejka_clay_sinusoidal_v5_b4_s512,ok,0,19.06651711463928,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0007_pacejka_clay_sinusoidal_v5_b4_s512/20260704_042422_864031_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0007_pacejka_clay_sinusoidal_v5_b4_s512/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0007_pacejka_clay_sinusoidal_v5_b4_s512/cbf_filter_log.csv,1250,2.4945469762370727,4.346876,1.6963976158818097,1.9811108956602037,3.2929799999999987,0.3962221791320407,4.917344,8.811599999999999,27.20269862140517,26.867795,0.425782,1,1,-0.7044000000000001,22.4,0.2200814159292035,0.1590938053097345,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0007_pacejka_clay_sinusoidal_v5_b4_s512/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,514,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0009_pacejka_clay_sinusoidal_v5_b4_s514,ok,0,19.06864643096924,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0009_pacejka_clay_sinusoidal_v5_b4_s514/20260704_042422_931157_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0009_pacejka_clay_sinusoidal_v5_b4_s514/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0009_pacejka_clay_sinusoidal_v5_b4_s514/cbf_filter_log.csv,1250,0.457042802902729,1.114821,0.3285686786703601,2.321256971375808,4.07042,0.4642513942751615,4.582351999999999,7.535899999999999,31.58373551313899,31.481325,-2.453121,0,0,1.176426,17.8,0.1642237288135593,0.0825593220338983,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0009_pacejka_clay_sinusoidal_v5_b4_s514/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,4,513,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0008_pacejka_clay_sinusoidal_v5_b4_s513,ok,0,19.068456888198853,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0008_pacejka_clay_sinusoidal_v5_b4_s513/20260704_042422_860577_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0008_pacejka_clay_sinusoidal_v5_b4_s513/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0008_pacejka_clay_sinusoidal_v5_b4_s513/cbf_filter_log.csv,1250,0.1527948959326164,0.429049,0.1243556352723915,1.3150759002770085,2.99843,0.2630151800554016,4.562104,7.716299999999999,18.32939600658105,19.135976,0.540792,1,1,-1.1578,41.4,0.1401932773109243,0.3449789915966387,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0008_pacejka_clay_sinusoidal_v5_b4_s513/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,8,510,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0010_pacejka_clay_sinusoidal_v5_b8_s510,ok,0,19.16676163673401,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0010_pacejka_clay_sinusoidal_v5_b8_s510/20260704_042422_872226_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0010_pacejka_clay_sinusoidal_v5_b8_s510/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0010_pacejka_clay_sinusoidal_v5_b8_s510/cbf_filter_log.csv,1250,0.3986148952072742,1.564713,0.2582938504155124,2.2537162511542013,3.749489999999999,0.4507432502308403,3.766304,6.491999999999998,30.322140229427205,30.444674,-3.182713,0,0,2.463839,13.8,0.1467137931034482,0.121903448275862,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0010_pacejka_clay_sinusoidal_v5_b8_s510/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,8,511,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0011_pacejka_clay_sinusoidal_v5_b8_s511,ok,0,19.069248914718628,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0011_pacejka_clay_sinusoidal_v5_b8_s511/20260704_042423_065820_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0011_pacejka_clay_sinusoidal_v5_b8_s511/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0011_pacejka_clay_sinusoidal_v5_b8_s511/cbf_filter_log.csv,1250,2.431019580610248,4.405943,1.6236275577100647,1.8057951985226224,3.19621,0.3611590397045244,4.054384,7.5953,24.78521500858274,24.868948,1.97076,1,1,-0.9016000000000002,27.6,0.2169079646017699,0.1778424778761062,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0011_pacejka_clay_sinusoidal_v5_b8_s511/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,5.0,8,512,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0012_pacejka_clay_sinusoidal_v5_b8_s512,ok,0,19.070111989974976,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0012_pacejka_clay_sinusoidal_v5_b8_s512/20260704_042423_105972_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0012_pacejka_clay_sinusoidal_v5_b8_s512/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0012_pacejka_clay_sinusoidal_v5_b8_s512/cbf_filter_log.csv,1250,0.189831444688207,0.374489,0.1577598541089566,1.7016260387811633,3.037559999999999,0.3403252077562326,3.423232,5.3851,23.140692025271065,23.499651,-1.392061,0,3,0.1545,22.4,0.1074486956521739,0.2118286956521739,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0012_pacejka_clay_sinusoidal_v5_b8_s512/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,7.0,0,510,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0015_pacejka_clay_sinusoidal_v7_b0_s510,ok,0,18.66342520713806,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0015_pacejka_clay_sinusoidal_v7_b0_s510/20260704_042442_034946_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0015_pacejka_clay_sinusoidal_v7_b0_s510/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0015_pacejka_clay_sinusoidal_v7_b0_s510/cbf_filter_log.csv,1250,0.4550207582899456,1.451076,0.2843860369344413,2.2643187442289934,3.8592299999999993,0.3234741063184276,3.544656,5.6051,30.53661741098711,30.838561,-3.005166,0,0,2.08783,17.8,0.162485593220339,0.1360177966101695,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0015_pacejka_clay_sinusoidal_v7_b0_s510/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,7.0,0,513,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0018_pacejka_clay_sinusoidal_v7_b0_s513,ok,0,18.517369270324707,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0018_pacejka_clay_sinusoidal_v7_b0_s513/20260704_042442_284377_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0018_pacejka_clay_sinusoidal_v7_b0_s513/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0018_pacejka_clay_sinusoidal_v7_b0_s513/cbf_filter_log.csv,1250,0.1552740199990422,0.43647,0.1321702123730378,1.306006001846722,3.00296,0.1865722859781031,3.324856,5.2551,18.254086226065034,19.010945,0.609458,1,1,-1.0425,41.4,0.1679957983193277,0.3523394957983192,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0018_pacejka_clay_sinusoidal_v7_b0_s513/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,7.0,0,511,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0016_pacejka_clay_sinusoidal_v7_b0_s511,ok,0,18.61732840538025,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0016_pacejka_clay_sinusoidal_v7_b0_s511/20260704_042442_137549_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0016_pacejka_clay_sinusoidal_v7_b0_s511/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0016_pacejka_clay_sinusoidal_v7_b0_s511/cbf_filter_log.csv,1249,2.0685536552577912,3.668329,1.4204585656192237,1.6864119223659888,3.2665800000000007,0.2409159889094269,4.63506004803843,8.260399999999999,23.419489498378493,23.2445,1.185614,1,1,-1.6357000000000002,40.1,0.240043220338983,0.1726491525423728,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0016_pacejka_clay_sinusoidal_v7_b0_s511/sim_diag.csv
autonomous_obstacle_tire_model_sweep,pacejka,standard,pacejka,vehicle_rate_64_32_lhs,clay,sinusoidal,7.0,0,512,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0017_pacejka_clay_sinusoidal_v7_b0_s512,ok,0,18.61362099647522,15.0,1.0,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0017_pacejka_clay_sinusoidal_v7_b0_s512/20260704_042442_167784_clay_sinusoidal_acados_pacejka/diag_clay_sinusoidal_acados_pacejka.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0017_pacejka_clay_sinusoidal_v7_b0_s512/collision_log.csv,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0017_pacejka_clay_sinusoidal_v7_b0_s512/cbf_filter_log.csv,1250,0.1401160884860798,0.340999,0.1172152262234533,2.048959372114497,3.91065,0.2927084817306424,4.173344,6.610999999999999,27.7827008625574,28.202327,-2.185642,0,3,0.1471999999999997,17.8,0.0975864406779661,0.1962372881355932,,/home/ksha/Documents/sbel/SCM_Final_repo/benchmarking/results/autonomous_obstacle_tire_model_sweep_dob_cbf_mpc_blind_20260704_042344/raw/0017_pacejka_clay_sinusoidal_v7_b0_s512/sim_diag.csv
